timestamp,bottle,vibration_index_red,time_red,fill_level_grams_red,recipe,temperature_C_red,final_weight_grams
2025-06-04T11:43:44.009541,49031883,3.538595383680814,1749037425,0,29,26.258527333733557,0
2025-06-04T11:43:48.015040,49031885,-4.414725818538713,1749037429,800,29,25.048311171826125,800
2025-06-04T11:43:52.014335,49031887,268.8247338701898,1749037433,786.2909558278576,29,26.009067154888875,786.2909558278576
2025-06-04T11:43:56.015426,49031889,255.4743038103367,1749037437,773.3853696862914,29,26.602383030272517,773.3853696862914
2025-06-04T11:44:00.017224,49031891,265.4228856497908,1749037441,759.1611840186289,29,24.399151421887346,759.1611840186289
2025-06-04T11:44:04.015258,49031893,262.7170059333889,1749037445,746.0264319466363,29,26.24749332928978,746.0264319466363
2025-06-04T11:44:08.012450,49031895,272.6838899288745,1749037449,731.0708112599144,29,24.933696757106,731.0708112599144
2025-06-04T11:44:12.030391,49031897,263.99222613866164,1749037453,717.9832211407568,29,26.4264423079009,717.9832211407568
2025-06-04T11:44:16.019689,49031899,264.8080073543616,1749037457,704.075960207684,29,25.409498447327806,704.075960207684
2025-06-04T11:44:20.016731,49031901,267.72073143720473,1749037461,690.054370135007,29,25.03747895371235,690.054370135007
2025-06-04T11:44:24.022712,49031903,271.5496869541835,1749037465,676.0206688025029,29,24.485845633540865,676.0206688025029
2025-06-04T11:44:28.018565,49031905,262.9738901484447,1749037469,662.8076283259197,29,24.40438342632401,662.8076283259197
2025-06-04T11:44:32.019538,49031907,267.1997639532534,1749037473,649.0994585364871,29,24.545490974551157,649.0994585364871
2025-06-04T11:44:36.014311,49031909,266.83909514012834,1749037477,635.3217312595544,29,25.245201518540167,635.3217312595544
2025-06-04T11:44:40.008775,49031911,271.7970628675363,1749037481,621.6323110891739,29,25.612039099235005,621.6323110891739
2025-06-04T11:44:44.002655,49031913,263.3766866265524,1749037485,608.6241137572832,29,25.339474473872748,608.6241137572832
2025-06-04T11:44:48.003370,49031915,261.28105713915943,1749037489,593.9852240681653,29,25.52588901925505,593.9852240681653
2025-06-04T11:44:51.996784,49031917,264.6074619297792,1749037493,580.6749777864991,29,26.288990772318925,580.6749777864991
2025-06-04T11:44:55.993017,49031919,269.95793672259464,1749037497,566.7583009021289,29,24.737382665301826,566.7583009021289
2025-06-04T11:44:59.988503,49031921,267.42299165115924,1749037501,553.595932788082,29,26.500670549145802,553.595932788082
